,Category,Message,Emoji,Mathematical symbols,URL,shorthands,Dot,length,capitals,Num_Phone,Special characters,word_count,mis_spell
29,ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,0,0,0,1,0,64,1,0,1,12,1
30,ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",0,0,0,3,0,130,0,0,0,26,1
31,ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You?,0,0,0,5,0,188,0,0,2,41,1
32,ham,K tell me anything about you.,0,0,0,1,0,29,1,0,0,6,1
33,ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,0,0,0,1,0,84,0,0,0,17,1
34,spam,Thanks for your subscription to Ringtone UK your mobile will be charged Â£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,0,1,0,3,0,159,4,0,0,29,5
35,ham,Yup... Ok i go home look at the timings then i msg Ã¼ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,0,0,0,2,2,123,0,0,0,28,5
36,ham,"Oops, I'll let you know when my roommate's done",0,0,0,3,0,47,0,0,0,9,1
37,ham,I see the letter B on my car,0,0,0,1,0,28,2,0,0,8,1
38,ham,Anything lor... U decide...,0,0,0,1,2,27,1,0,0,4,1
39,ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,0,0,0,1,0,155,1,0,2,30,1
40,ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,0,0,0,1,0,82,1,0,0,17,1
41,ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",0,0,0,5,4,142,5,0,0,34,1
42,spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,0,4,0,4,0,172,1,2,0,33,1
43,ham,WHO ARE YOU SEEING?,0,0,0,0,0,19,4,0,0,4,1
44,ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,0,0,0,1,1,72,2,0,4,15,1
45,ham,No calls..messages..missed calls,0,0,0,1,2,32,0,0,0,3,1
46,ham,Didn't you get hep b immunisation in nigeria.,0,0,0,2,0,45,0,0,0,8,1
47,ham,"Fair enough, anything going on?",0,0,0,0,0,31,0,0,0,5,1
48,ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",0,0,0,1,0,67,1,0,0,14,1
49,ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,0,0,0,3,0,148,4,0,0,30,1
50,ham,What you thinked about me. First time you saw me in class.,0,0,0,0,0,58,0,0,0,12,1
51,ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",0,0,0,0,0,124,1,0,6,25,1
52,ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,0,0,0,3,0,80,1,0,0,16,1
53,ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.",0,0,0,3,0,289,3,0,0,55,1
54,spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,0,0,0,2,0,120,3,0,0,22,1
55,ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,0,0,0,0,0,76,0,0,3,14,1
56,spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!",0,2,0,5,0,160,3,1,4,27,1
57,ham,"Sorry, I'll call later in meeting.",0,0,0,1,0,34,0,0,0,6,1
58,ham,Tell where you reached,0,0,0,0,0,22,0,0,0,4,1
59,ham,Yes..gauti and sehwag out of odi series.,0,0,0,0,1,40,0,0,0,7,1
60,ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,0,0,0,2,0,108,1,0,1,23,1
61,ham,Ha ha ha good joke. Girls are situation seekers.,0,0,0,3,0,48,0,0,0,9,1
62,ham,Its a part of checking IQ,0,0,0,1,0,25,1,0,0,6,1
63,ham,"Sorry my roommates took forever, it ok if I come by now?",0,0,0,1,0,56,1,0,0,12,1
64,ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,0,0,0,7,0,110,0,0,0,24,1
65,spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a Â£1500 Bonus Prize, call 09066364589",0,0,0,0,0,153,1,1,0,28,5
66,ham,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...",0,0,0,2,2,122,0,0,0,23,1
67,spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or Â£1000. To claim txt DIS to 87121 18+6*Â£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",0,2,0,4,0,161,4,0,1,22,5
68,spam,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!",0,0,0,1,0,78,0,0,1,15,1
69,ham,I plane to give on this month end.,0,0,0,0,0,34,1,0,0,8,1
70,ham,Wah lucky man... Then can save money... Hee...,0,0,0,1,3,46,0,0,0,8,1
71,ham,Finished class where are you.,0,0,0,1,0,29,0,0,0,5,1
72,ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,0,0,0,4,0,45,10,0,0,10,1
73,ham,K..k:)where are you?how did you performed?,1,0,0,0,1,42,0,0,0,6,1
74,ham,U can call me now...,0,0,0,1,1,20,1,0,0,5,1
75,ham,I am waiting machan. Call me once you free.,0,0,0,0,0,43,1,0,0,9,1
76,ham,Thats cool. i am a gentleman and will treat you with dignity and respect.,0,0,0,0,0,73,0,0,0,14,1
77,ham,I like you peoples very much:) but am very shy pa.,1,0,0,0,0,50,1,0,0,11,1
78,ham,Does not operate after  &lt;#&gt;  or what,0,0,0,0,0,42,0,0,3,9,1
79,ham,Its not the same here. Still looking for a job. How much do Ta's earn there.,0,0,0,0,0,76,0,0,0,16,1
80,ham,"Sorry, I'll call later",0,0,0,1,0,22,0,0,0,4,1
81,ham,K. Did you call me just now ah?,0,0,0,0,0,31,1,0,0,8,1
82,ham,Ok i am on the way to home hi hi,0,0,0,4,0,32,0,0,0,10,1
83,ham,You will be in the place of that man,0,0,0,0,0,36,0,0,0,9,1
84,ham,Yup next stop.,0,0,0,1,0,14,0,0,0,3,1
85,ham,"I call you later, don't have network. If urgnt, sms me.",0,0,0,1,0,55,1,0,0,11,1
86,ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,0,0,0,5,0,121,2,0,0,26,1
87,ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,0,0,0,2,0,144,2,0,0,31,1
88,ham,I'm really not up to it still tonight babe,0,0,0,1,0,42,0,0,0,9,1
89,ham,"Ela kano.,il download, come wen ur free..",0,0,0,1,1,41,0,0,0,7,1
90,ham,Yeah do! Donât stand to close tho- youâll catch something!,0,1,0,0,0,62,0,0,2,10,6
91,ham,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry.,0,0,0,5,0,194,1,0,0,39,1
92,ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,0,0,0,3,0,141,2,0,2,26,1
93,spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed Â£1000 cash or Â£5000 prize!,0,1,0,0,0,139,1,0,1,23,5
94,ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,0,0,0,2,0,107,2,0,0,20,1
95,spam,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16",0,0,0,2,0,158,5,0,0,29,1
96,ham,Watching telugu movie..wat abt u?,0,0,0,2,1,33,0,0,0,5,1
97,ham,i see. When we finish we have loads of loans to pay,0,0,0,2,0,51,0,0,0,12,1
98,ham,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?""",0,1,0,8,0,178,0,0,1,38,1
99,ham,I see a cup of coffee animation,0,0,0,0,0,31,1,0,0,7,1
100,ham,Please don't text me anymore. I have nothing else to say.,0,0,0,1,0,57,1,0,0,11,1
101,ham,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,0,0,0,5,0,81,2,0,1,21,1
102,ham,I'm still looking for a car to buy. And have not gone 4the driving test yet.,0,0,0,1,0,76,0,0,0,16,1
103,ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0,1,0,1,0,160,0,0,0,26,1
104,ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",0,0,0,3,0,183,2,0,1,36,1
105,ham,Umma my life and vava umma love you lot dear,0,0,0,1,0,44,0,0,0,10,1
106,ham,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,0,0,0,0,0,95,0,0,0,17,1
107,ham,"Aight, I'll hit you up when I get some cash",0,0,0,2,0,43,1,0,0,10,1
108,ham,How would my ip address test that considering my computer isn't a minecraft server,0,0,0,1,0,82,0,0,0,14,1
109,ham,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,0,0,0,1,1,115,2,0,1,24,1
110,ham,Dont worry. I guess he's busy.,0,0,0,0,0,30,1,0,0,6,1
111,ham,What is the plural of the noun research?,0,0,0,0,0,40,0,0,0,8,1
112,ham,Going for dinner.msg you after.,0,0,0,0,0,31,0,0,0,5,1
113,ham,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,0,0,0,9,0,96,0,0,0,24,1
114,spam,GENT! We are trying to contact you. Last weekends draw shows that you won a Â£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,0,0,0,3,0,159,3,1,1,27,5
115,ham,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",0,0,0,7,3,143,0,0,0,24,1
116,ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",0,0,0,4,0,156,3,0,2,32,1
117,spam,You are a winner U have been specially selected 2 receive Â£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+),0,3,0,5,0,152,1,0,0,27,5
118,ham,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed!,0,2,0,1,0,71,0,0,2,12,1
119,ham,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,0,0,0,1,1,86,0,0,0,15,1
120,spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,0,0,0,1,0,144,1,2,1,20,1
121,spam,"URGENT! Your Mobile No. was awarded Â£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",0,2,0,1,0,157,4,1,2,26,5
122,ham,here is my new address -apples&pairs&all that malarky,0,1,0,0,0,53,0,0,2,8,1
123,spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,0,0,0,3,0,156,0,1,1,27,1
124,ham,I am going to sao mu today. Will be done only at 12,0,0,0,2,0,51,1,0,0,13,1
125,ham,Ã predict wat time Ã¼'ll finish buying?,0,0,0,2,0,40,0,0,0,7,6
126,ham,"Good stuff, will do.",0,0,0,0,0,20,0,0,0,4,1
127,ham,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",0,0,0,1,0,244,2,0,0,46,1
128,ham,Are you there in room.,0,0,0,0,0,22,0,0,0,5,1
129,ham,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,0,0,0,11,0,107,26,0,2,27,1
130,ham,K..k:)how much does it cost?,1,0,0,0,1,28,0,0,0,5,1
131,ham,I'm home.,0,0,0,1,0,9,0,0,0,2,1
132,ham,"Dear, will call Tmorrow.pls accomodate.",0,0,0,1,0,39,0,0,0,5,1
133,ham,First answer my question.,0,0,0,0,0,25,0,0,0,4,1
134,spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. Â£1.50 SP:Tyrone,0,0,0,4,0,126,2,0,1,25,5
135,spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,0,0,0,5,0,162,1,0,2,28,1
136,ham,I only haf msn. It's yijue@hotmail.com,0,0,1,0,0,38,1,0,1,6,1
137,ham,He is there. You call and meet him,0,0,0,0,0,34,0,0,0,8,1
138,ham,No no. I will check all rooms befor activities,0,0,0,1,0,46,1,0,0,9,1
139,spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,0,0,0,5,0,155,2,0,1,32,1
140,ham,Got c... I lazy to type... I forgot Ã¼ in lect... I saw a pouch but like not v nice...,0,0,0,1,4,86,3,0,0,20,5
141,ham,"K, text me when you're on the way",0,0,0,3,0,33,1,0,0,8,1
142,ham,"Sir, Waiting for your mail.",0,0,0,0,0,27,0,0,0,5,1
143,ham,"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8",0,0,0,2,3,156,1,0,0,26,1
144,ham,I know you are. Can you pls open the back?,0,0,0,1,0,42,1,0,0,10,1
145,ham,Yes see ya not on the dot,0,0,0,2,0,25,0,0,0,7,1
146,ham,Whats the staff name who is taking class for us?,0,0,0,2,0,48,0,0,0,10,1
147,spam,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",0,0,0,6,0,159,0,0,0,29,1
148,ham,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,0,0,0,1,0,84,0,0,0,15,1
149,ham,K..i deleted my contact that why?,0,0,0,0,1,33,0,0,0,6,1
150,ham,Sindu got job in birla soft ..,0,0,0,1,1,30,0,0,0,7,1
151,ham,The wine is flowing and i'm i have nevering..,0,0,0,1,1,45,0,0,0,9,1
152,ham,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,0,0,0,5,0,59,0,0,0,15,1
153,ham,Ok... Ur typical reply...,0,0,0,1,2,25,0,0,0,4,1
154,ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0,1,0,1,0,160,0,0,0,26,1
155,ham,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",0,0,0,2,0,384,2,0,0,80,1
156,ham,Aaooooright are you at work?,0,0,0,0,0,28,0,0,0,5,1
157,ham,I'm leaving my house now...,0,0,0,1,1,27,0,0,0,5,1
158,ham,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",0,0,0,0,0,157,0,0,0,33,1
159,spam,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,0,0,0,0,0,124,0,1,0,19,1
160,spam,You are a winner U have been specially selected 2 receive Â£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,0,1,0,5,0,146,1,0,0,27,5
161,ham,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,0,0,0,1,0,115,3,0,0,24,1
162,ham,New car and house for my parents.:)i have only new job in hand:),2,0,0,1,0,64,0,0,0,13,1
163,ham,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,0,0,0,2,0,85,0,0,0,19,1
164,spam,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,0,6,1,0,0,152,8,0,0,24,1
165,spam,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",0,1,0,7,0,155,5,0,0,30,1
166,ham,I place all ur points on e cultures module already.,0,0,0,2,0,51,1,0,0,10,1
167,spam,URGENT! We are trying to contact you. Last weekends draw shows that you have won a Â£900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,0,0,0,3,0,157,3,1,1,27,5
168,ham,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",0,0,0,3,0,74,0,0,0,13,1
169,ham,Great escape. I fancy the bridge but needs her lager. See you tomo,0,0,0,1,0,66,1,0,0,13,1
170,ham,Yes :)it completely in out of form:)clark also utter waste.,2,0,0,0,0,59,0,0,0,10,1
171,ham,"Sir, I need AXIS BANK account no and bank address.",0,0,0,1,0,50,3,0,0,10,1
172,ham,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao...",0,0,0,3,4,93,0,0,0,20,1
173,ham,What time you coming down later?,0,0,0,0,0,32,0,0,0,6,1
174,ham,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m...",0,0,0,3,1,104,0,0,0,21,1
175,ham,"Well, i'm gonna finish my bath now. Have a good...fine night.",0,0,0,3,1,61,0,0,0,11,1
176,ham,Let me know when you've got the money so carlos can make the call,0,0,0,0,0,65,0,0,0,14,1
177,ham,U still going to the mall?,0,0,0,1,0,26,1,0,0,6,1
178,ham,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",0,0,0,1,0,146,0,0,7,31,1
179,ham,Text her. If she doesnt reply let me know so i can have her log in,0,0,0,1,0,66,0,0,0,16,1
180,ham,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,0,0,0,1,0,126,2,0,1,25,1
181,ham,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,0,0,0,2,0,159,1,0,0,31,1
182,ham,Lol no. U can trust me.,0,0,0,2,0,23,1,0,0,6,1
183,ham,ok. I am a gentleman and will treat you with dignity and respect.,0,0,0,0,0,65,1,0,0,13,1
184,ham,"He will, you guys close?",0,0,0,0,0,24,0,0,0,5,1
185,ham,Going on nothing great.bye,0,0,0,0,0,26,0,0,0,4,1
186,ham,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,0,0,0,1,0,152,0,0,1,32,1
187,ham,"Haha awesome, be there in a minute",0,0,0,1,0,34,0,0,0,7,1
188,spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed Â£1000 cash or Â£5000 prize!,0,1,0,0,0,149,2,0,1,24,5
189,ham,Have you got Xmas radio times. If not i will get it now,0,0,0,0,0,55,0,0,0,13,1
190,ham,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,0,0,0,3,1,88,2,0,0,19,1
191,spam,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,0,0,1,0,0,72,0,0,0,10,1
192,ham,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,0,0,0,2,0,185,0,0,0,38,1
193,ham,Hi :)finally i completed the course:),2,0,0,2,0,37,0,0,0,6,1
194,ham,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,0,0,0,0,0,111,1,0,0,22,1
195,ham,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,0,0,0,1,0,92,0,0,0,19,1
196,ham,Gud mrng dear hav a nice day,0,0,0,3,0,28,0,0,0,7,1
197,ham,Did u got that persons story,0,0,0,1,0,28,0,0,0,6,1
198,ham,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt?,0,0,0,2,0,63,0,0,0,14,1
199,ham,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,1,0,0,5,0,131,1,0,1,30,1
200,ham,"Found it, ENC  &lt;#&gt; , where you at?",0,0,0,1,0,40,1,0,3,9,1
201,ham,I sent you  &lt;#&gt;  bucks,0,0,0,1,0,28,1,0,3,7,1
202,ham,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,0,0,0,4,0,84,0,0,0,18,1
203,ham,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,0,0,0,4,0,174,3,0,7,28,1
204,ham,Goodmorning sleeping ga.,0,0,0,0,0,24,0,0,0,3,1
205,ham,U call me alter at 11 ok.,0,0,0,1,0,25,1,0,0,7,1
206,ham,Ã say until like dat i dun buy ericsson oso cannot oredi lar...,0,0,0,3,1,64,0,0,0,13,5
207,ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",0,0,0,4,0,156,3,0,2,32,1
208,ham,"Aight yo, dats straight dogg",0,0,0,3,0,28,0,0,0,5,1
209,ham,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,0,0,0,1,0,86,0,0,2,15,1
210,ham,Both :) i shoot big loads so get ready!,1,0,0,1,0,39,0,0,1,9,1
211,ham,"What's up bruv, hope you had a great break. Do have a rewarding semester.",0,0,0,1,0,73,0,0,0,14,1
212,ham,Home so we can always chat,0,0,0,1,0,26,0,0,0,6,1
213,ham,K:)k:)good:)study well.,3,0,0,0,0,23,0,0,0,2,1
214,ham,Yup... How Ã¼ noe leh...,0,0,0,0,2,24,0,0,0,5,5
215,ham,Sounds great! Are you home now?,0,0,0,0,0,31,0,0,1,6,1
216,ham,Finally the match heading towards draw as your prediction.,0,0,0,1,0,58,0,0,0,9,1
217,ham,Tired. I haven't slept well the past few nights.,0,0,0,1,0,48,1,0,0,9,1
218,ham,Easy ah?sen got selected means its good..,0,0,0,0,1,41,0,0,0,7,1
219,ham,I have to take exam with march 3,0,0,0,0,0,32,1,0,0,8,1
220,ham,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,0,0,0,2,0,159,1,0,0,35,1
221,ham,Ok no prob. Take ur time.,0,0,0,3,0,25,0,0,0,6,1
222,ham,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,0,0,0,2,2,161,0,0,0,30,1
223,ham,"Sorry, I'll call later",0,0,0,1,0,22,0,0,0,4,1
